product_id,customer_id,time_id,list_price,customer_price,base_price,promo_price
1,4,1,3.9,3.75,3.55,3.55
1,4,32,3.95,3.8,3.6,3.6
1,4,60,3.98,3.83,3.63,3.63
1,5,1,3.85,3.7,3.5,3.5
1,5,32,3.9,3.75,3.55,3.55
1,5,60,3.93,3.78,3.58,3.58
1,6,1,3.87,3.72,3.52,3.52
1,6,32,3.92,3.77,3.57,3.57
1,6,60,3.95,3.8,3.6,3.6
1,15,1,3.75,3.6,3.4,3.4
1,15,32,3.8,3.65,3.45,3.45
1,15,60,3.83,3.68,3.48,3.48
1,16,1,3.77,3.62,3.42,3.42
1,16,32,3.82,3.67,3.47,3.47
1,16,60,3.85,3.7,3.5,3.5
2,4,1,4.0,3.85,3.65,3.65
2,4,32,4.05,3.9,3.7,3.7
2,4,60,4.08,3.93,3.73,3.73
2,5,1,3.95,3.8,3.6,3.6
2,5,32,4.0,3.85,3.65,3.65
2,5,60,4.03,3.88,3.68,3.68
2,6,1,3.97,3.82,3.62,3.62
2,6,32,4.02,3.87,3.67,3.67
2,6,60,4.05,3.9,3.7,3.7
2,15,1,3.85,3.7,3.5,3.5
2,15,32,3.9,3.75,3.55,3.55
2,15,60,3.93,3.78,3.58,3.58
2,16,1,3.87,3.72,3.52,3.52
2,16,32,3.92,3.77,3.57,3.57
2,16,60,3.95,3.8,3.6,3.6
3,4,1,4.05,3.9,3.7,3.7
3,4,32,4.1,3.95,3.75,3.75
3,4,60,4.13,3.98,3.78,3.78
3,5,1,4.0,3.85,3.65,3.65
3,5,32,4.05,3.9,3.7,3.7
3,5,60,4.08,3.93,3.73,3.73
3,6,1,4.02,3.87,3.67,3.67
3,6,32,4.07,3.92,3.72,3.72
3,6,60,4.1,3.95,3.75,3.75
3,15,1,3.9,3.75,3.55,3.55
3,15,32,3.95,3.8,3.6,3.6
3,15,60,3.98,3.83,3.63,3.63
3,16,1,3.92,3.77,3.57,3.57
3,16,32,3.97,3.82,3.62,3.62
3,16,60,4.0,3.85,3.65,3.65
4,4,1,2.7,2.55,2.35,2.35
4,4,32,2.73,2.58,2.38,2.38
