product_id,customer_id,time_id,volume
1,4,1,806.75
1,4,2,731.57
1,4,3,769.54
1,4,4,696.45
1,4,5,655.23
1,4,6,795.06
1,4,7,760.52
1,4,8,725.53
1,4,9,765.01
1,4,10,744.86
1,4,11,652.03
1,4,12,658.66
1,4,13,847.56
1,4,14,868.19
1,4,15,718.07
1,4,16,679.64
1,4,17,734.85
1,4,18,684.47
1,4,19,665.79
1,4,20,737.37
1,4,21,730.28
1,4,22,669.92
1,4,23,768.26
1,4,24,703.81
1,4,25,694.64
1,4,26,714.64
1,4,27,811.82
1,4,28,786.39
1,4,29,677.95
1,4,30,730.31
1,4,31,790.35
1,4,32,670.99
1,4,33,782.71
1,4,34,728.16
1,4,35,752.32
1,4,36,721.66
1,4,37,772.53
1,4,38,788.51
1,4,39,787.73
1,4,40,770.35
1,4,41,754.28
1,4,42,724.20
1,4,43,740.84
1,4,44,756.49
1,4,45,768.23
1,4,46,713.91
1,4,47,765.34
1,4,48,838.09
1,4,49,724.39
1,4,50,736.39
1,4,51,656.22
1,4,52,740.99
1,4,53,658.58
1,4,54,696.99
1,4,55,868.87
1,4,56,794.44
1,4,57,697.06
1,4,58,673.43
1,4,59,651.00
1,4,60,682.51
1,4,61,697.26
1,4,62,826.22
1,4,63,800.75
1,4,64,641.67
1,4,65,713.42
1,4,66,728.35
1,4,67,693.12
1,4,68,745.09
1,4,69,780.00
1,4,70,729.03
1,4,71,684.13
1,4,72,697.94
1,4,73,671.11
1,4,74,661.91
1,4,75,728.05
1,4,76,802.40
1,4,77,818.04
1,4,78,657.97
1,4,79,774.00
1,4,80,682.09
1,4,81,704.24
1,4,82,783.68
1,4,83,833.30
1,4,84,750.36
1,4,85,667.92
1,4,86,691.73
1,4,87,672.34
1,4,88,648.49
1,4,89,782.65
1,4,90,751.65
1,5,1,777.13
1,5,2,756.45
1,5,3,750.49
1,5,4,670.75
1,5,5,723.59
1,5,6,730.51
1,5,7,778.99
1,5,8,623.82
1,5,9,749.77
1,5,10,723.13
1,5,11,660.65
1,5,12,740.02
1,5,13,788.57
1,5,14,814.12
1,5,15,671.89
1,5,16,664.86
1,5,17,747.59
1,5,18,740.38
1,5,19,686.25
1,5,20,756.71
1,5,21,815.73
1,5,22,648.64
1,5,23,673.69
1,5,24,674.21
1,5,25,729.98
1,5,26,671.62
1,5,27,783.81
1,5,28,709.95
1,5,29,642.16
1,5,30,658.71
1,5,31,722.95
1,5,32,638.41
1,5,33,690.75
1,5,34,724.34
1,5,35,813.81
1,5,36,669.82
1,5,37,646.57
1,5,38,757.45
1,5,39,730.58
1,5,40,723.25
1,5,41,810.36
1,5,42,712.70
1,5,43,702.57
1,5,44,667.02
1,5,45,739.54
1,5,46,719.78
1,5,47,676.64
1,5,48,776.61
1,5,49,746.79
1,5,50,632.41
1,5,51,718.48
1,5,52,637.39
1,5,53,633.38
1,5,54,686.50
1,5,55,821.60
1,5,56,725.49
1,5,57,645.21
1,5,58,664.27
1,5,59,672.39
1,5,60,666.50
1,5,61,667.99
1,5,62,729.76
1,5,63,836.85
1,5,64,624.76
1,5,65,752.28
1,5,66,718.20
1,5,67,735.75
1,5,68,693.93
1,5,69,692.94
1,5,70,739.53
1,5,71,655.69
1,5,72,679.77
1,5,73,761.56
1,5,74,674.41
1,5,75,692.00
1,5,76,733.35
1,5,77,696.27
1,5,78,693.58
1,5,79,632.33
1,5,80,743.72
1,5,81,722.34
1,5,82,637.94
1,5,83,760.89
1,5,84,753.05
